0.836972	0.836904	0.717121
0.809815	0.854098	0.759376
0.802059	0.866819	0.757256
0.806990	0.876792	0.705695
0.821599	0.884007	0.601230
0.838291	0.888845	0.451684
0.854455	0.891263	0.295129
0.870145	0.893227	0.157418
0.883775	0.892301	0.108072
0.891697	0.888777	0.100000
0.893836	0.876940	0.131963
0.893965	0.853583	0.230651
0.894093	0.813089	0.368410
0.893809	0.744728	0.514271
0.893628	0.631095	0.640414
0.893836	0.468686	0.720525
0.893836	0.301425	0.763508
0.893185	0.164450	0.786628
0.890507	0.105515	0.801553
0.886566	0.100000	0.811730
0.878286	0.138456	0.821602
0.862252	0.236241	0.833013
0.829552	0.404714	0.846242
0.771081	0.580740	0.859109
0.692738	0.696600	0.869712
0.588632	0.777065	0.877378
0.489028	0.816033	0.883516
0.386844	0.838818	0.887486
0.295804	0.852114	0.890188
0.220790	0.862706	0.892098
0.164397	0.869979	0.893594
0.125831	0.874303	0.895070
0.104273	0.877513	0.896528
0.100000	0.880429	0.897966
0.112717	0.883058	0.899385
0.144012	0.885660	0.900786
